"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
73,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.43005,0.260585,-0.539217,-0.000169788,0.00036434,-0.0001094,0.00040602,-0.000211469,-0.856911,0.000472139,0.0047298,10.0225,10.0178
74,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.4292,0.259196,-0.54343,-0.000159867,0.000366403,-0.000129348,0.000408357,-0.00020182,-1.00576,0.000486061,0.00486927,10.0227,10.0178
75,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.43049,0.259346,-0.547975,-0.000164554,0.000381366,-0.000114004,0.000432669,-0.000215858,-0.896579,0.000509645,0.00510553,10.0229,10.0178
76,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.429026,0.260182,-0.5501,-0.000159346,0.000362578,-0.00014547,0.000423963,-0.000220732,-1.11541,0.000509184,0.00510091,10.0229,10.0178
77,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.430424,0.261104,-0.55081,-0.000179563,0.000370932,-0.000119425,0.00043367,-0.000242301,-0.916811,0.000525412,0.00526348,10.0231,10.0178
78,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.429925,0.259743,-0.557024,-0.000161939,0.000384589,-0.000118094,0.000460077,-0.000237427,-0.972929,0.000542114,0.0054308,10.0232,10.0178
79,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.430053,0.262627,-0.556577,-0.000158025,0.000369158,-8.28403e-05,0.000454407,-0.000243273,-0.767583,0.00056445,0.00565455,10.0235,10.0178
80,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.430874,0.266372,-0.562078,-0.000153586,0.000363939,-0.00012329,0.000468308,-0.000257955,-0.996906,0.000584372,0.00585413,10.0237,10.0178
81,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.430804,0.261198,-0.560505,-0.000179764,0.000402808,-0.000112516,0.000496395,-0.000273351,-0.915563,0.00059515,0.0059621,10.0238,10.0178
82,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.430357,0.266141,-0.558051,-0.000200554,0.000353513,-0.000101895,0.000476872,-0.000323912,-0.939879,0.000585021,0.00586063,10.0237,10.0178
83,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.433728,0.262237,-0.577958,-0.000179381,0.00036151,-0.000150826,0.000501674,-0.000319545,-0.965529,0.000586716,0.00587761,10.0237,10.0178
84,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.434233,0.266982,-0.578649,-0.000189325,0.000356022,-8.85087e-05,0.000508683,-0.000341987,-0.701608,0.000638068,0.00639205,10.0242,10.0178
85,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.431731,0.263343,-0.572824,-0.000161863,0.000354793,-0.000111109,0.000522259,-0.000329329,-0.825527,0.00063281,0.00633937,10.0242,10.0178
