Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
78,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000078_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000078_1.tif,61.567430,61.567850,0.183718,-10.383721,-10.430638,-10.389762,0.553561,0.000000,0.000000,0.000000
79,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000079_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000079_1.tif,62.067383,62.067840,0.188182,-10.383721,-10.430638,-10.389762,0.566674,0.000000,0.000000,0.000000
80,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000080_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000080_1.tif,62.567439,62.567828,0.194877,-10.383721,-10.430638,-10.389762,0.586344,0.000000,0.000000,0.000000
81,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000081_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000081_1.tif,63.067402,63.067866,0.199977,-10.383721,-10.430638,-10.389762,0.601331,0.000000,0.000000,0.000000
82,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000082_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000082_1.tif,63.567388,63.567819,0.204441,-10.383721,-10.430638,-10.389762,0.614444,0.000000,0.000000,0.000000
83,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000083_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000083_1.tif,64.067487,64.067759,0.209542,-10.383721,-10.430638,-10.389762,0.629430,0.000000,0.000000,0.000000
84,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000084_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000084_1.tif,64.567403,64.567818,0.214961,-10.383721,-10.430638,-10.389762,0.645353,0.000000,0.000000,0.000000
85,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000085_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000085_1.tif,65.067455,65.067877,0.221019,-10.383721,-10.430638,-10.389762,0.663150,0.000000,0.000000,0.000000
86,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000086_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000086_1.tif,65.567519,65.567924,0.226438,-10.383721,-10.430638,-10.389762,0.679073,0.000000,0.000000,0.000000
87,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000087_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000087_1.tif,66.067480,66.068152,0.231858,-10.383721,-10.430638,-10.389762,0.694996,0.000000,0.000000,0.000000
88,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000088_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000088_1.tif,66.567443,66.567823,0.237597,-10.383721,-10.430638,-10.389762,0.711856,0.000000,0.000000,0.000000
89,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000089_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000089_1.tif,67.067459,67.067935,0.241741,-10.383721,-10.430638,-10.389762,0.724032,0.000000,0.000000,0.000000
90,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000090_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000090_1.tif,67.567444,67.567875,0.248117,-10.383721,-10.430638,-10.389762,0.742765,0.000000,0.000000,0.000000
91,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000091_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000091_1.tif,68.067378,68.067985,0.252899,-10.383721,-10.430638,-10.389762,0.756815,0.000000,0.000000,0.000000
92,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000092_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000092_1.tif,68.567406,68.567838,0.258957,-10.383721,-10.430638,-10.389762,0.774611,0.000000,0.000000,0.000000
93,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000093_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000093_1.tif,69.067448,69.067746,0.265970,-10.383721,-10.430638,-10.389762,0.795217,0.000000,0.000000,0.000000
94,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000094_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000094_1.tif,69.567453,69.567810,0.270115,-10.383721,-10.430638,-10.389762,0.807394,0.000000,0.000000,0.000000
95,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000095_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000095_1.tif,70.067430,70.067931,0.274897,-10.383721,-10.430638,-10.389762,0.821444,0.000000,0.000000,0.000000
96,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000096_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000096_1.tif,70.567369,70.567897,0.280954,-10.383721,-10.430638,-10.389762,0.839240,0.000000,0.000000,0.000000
97,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000097_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000097_1.tif,71.067383,71.067793,0.285417,-10.383721,-10.430638,-10.389762,0.852353,0.000000,0.000000,0.000000
98,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000098_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000098_1.tif,71.567429,71.567868,0.291475,-10.383721,-10.430638,-10.389762,0.870150,0.000000,0.000000,0.000000
99,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000099_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000099_1.tif,72.067441,72.067867,0.296895,-10.383721,-10.430638,-10.389762,0.886073,0.000000,0.000000,0.000000
