Average,,,,,,,,,,,,,E0,,,
Index [1],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,ΔL/L0 [1],ΔL [mm],L1 [mm],L0 [mm]
80,1.74E-09,1.97E-09,2.19E-12,-0.167117,0.271545,-0.583522,-0.000160011,0.000493704,-0.000127641,0.000519268,-0.000185574,-0.808385,0.000479998,0.00479508,9.99459,9.98979
81,1.74E-09,1.97E-09,2.19E-12,-0.167135,0.270282,-0.586298,-0.000106576,0.000557629,-0.00014447,0.000589545,-0.000138493,-0.877139,0.000518568,0.00518038,9.99497,9.98979
82,1.74E-09,1.97E-09,2.19E-12,-0.167388,0.271295,-0.586319,-0.000169469,0.000551678,-0.000130348,0.000577158,-0.000194949,-0.799803,0.000497188,0.00496681,9.99476,9.98979
83,1.74E-09,1.97E-09,2.19E-12,-0.168226,0.270362,-0.585986,-0.000149321,0.000584586,-0.00010611,0.000610386,-0.00017512,-0.669763,0.000527631,0.00527092,9.99506,9.98979
84,1.74E-09,1.97E-09,2.19E-12,-0.16896,0.272885,-0.590505,-0.000140676,0.000602376,-0.000102071,0.000626524,-0.000164825,-0.715496,0.000528728,0.00528188,9.99508,9.98979
85,1.74E-09,1.97E-09,2.19E-12,-0.170272,0.274349,-0.590966,-0.000163415,0.000626467,-0.000172056,0.000654557,-0.000191505,-1.03507,0.000574269,0.00573682,9.99553,9.98979
86,1.74E-09,1.97E-09,2.19E-12,-0.169711,0.274961,-0.596119,-0.000161419,0.000643148,-0.000172496,0.000672319,-0.000190591,-0.990863,0.000595115,0.00594507,9.99574,9.98979
87,1.74E-09,1.97E-09,2.19E-12,-0.170823,0.275437,-0.604132,-0.00016247,0.000671609,-0.000125926,0.000697921,-0.000188782,-0.705297,0.000610069,0.00609446,9.99589,9.98979
88,1.74E-09,1.97E-09,2.19E-12,-0.169985,0.274862,-0.601687,-0.000128493,0.000655158,-9.90E-05,0.00067817,-0.000151505,-0.73309,0.000618859,0.00618227,9.99598,9.98979
89,1.74E-09,1.97E-09,2.19E-12,-0.170856,0.277584,-0.597654,-0.000210884,0.000704852,-0.000113657,0.000729706,-0.000235739,-0.628476,0.000639257,0.00638604,9.99618,9.98979
90,1.74E-09,1.97E-09,2.19E-12,-0.168112,0.278436,-0.600758,-0.000216169,0.000697247,-7.83E-05,0.00071664,-0.000235562,-0.629037,0.000627477,0.00626836,9.99606,9.98979
91,1.74E-09,1.97E-09,2.19E-12,-0.170721,0.277287,-0.603789,-0.000210919,0.000743772,-9.50E-05,0.000769034,-0.000236181,-0.633581,0.000674742,0.00674053,9.99653,9.98979
92,1.74E-09,1.97E-09,2.19E-12,-0.170035,0.280079,-0.606083,-0.000239217,0.000757231,-0.00014425,0.000778884,-0.00026087,-0.8325,0.00070926,0.00708536,9.99688,9.98979
93,1.74E-09,1.97E-09,2.19E-12,-0.171186,0.278914,-0.610272,-0.000179553,0.000779869,-8.57E-05,0.000796164,-0.000195849,-0.543302,0.00069201,0.00691303,9.99671,9.98979
94,1.74E-09,1.97E-09,2.19E-12,-0.172223,0.277441,-0.617248,-0.000216294,0.000806061,-0.000106755,0.000824593,-0.000234825,-0.574824,0.000729013,0.00728269,9.99708,9.98979
95,1.74E-09,1.97E-09,2.19E-12,-0.171393,0.282851,-0.610249,-0.000184755,0.000800489,-8.03E-05,0.000820841,-0.000205107,-0.424406,0.000727998,0.00727255,9.99707,9.98979
96,1.74E-09,1.97E-09,2.19E-12,-0.173433,0.283695,-0.612335,-0.000213808,0.000844924,-0.000148211,0.00087078,-0.000239664,-0.787407,0.000778108,0.00777314,9.99757,9.98979
97,1.74E-09,1.97E-09,2.19E-12,-0.172049,0.284218,-0.61484,-0.00021082,0.000859336,-0.000108787,0.000879259,-0.000230743,-0.511172,0.000833356,0.00832505,9.99812,9.98979
98,1.74E-09,1.97E-09,2.19E-12,-0.171806,0.283514,-0.616775,-0.000236248,0.000899041,-6.82E-05,0.000918933,-0.000256139,-0.289291,0.000839132,0.00838275,9.99818,9.98979
99,1.74E-09,1.97E-09,2.19E-12,-0.172858,0.288338,-0.61619,-0.000264096,0.000871155,-0.000141942,0.000891798,-0.000284739,-0.65872,0.000819106,0.0081827,9.99798,9.98979
100,1.74E-09,1.97E-09,2.19E-12,-0.1731,0.28538,-0.616687,-0.000247906,0.000889422,-0.000159149,0.000910102,-0.000268587,-0.797635,0.000824155,0.00823314,9.99803,9.98979
101,1.74E-09,1.97E-09,2.19E-12,-0.175469,0.289718,-0.621327,-0.000274622,0.000950262,-0.000165286,0.000967515,-0.000291876,-0.884338,0.000870689,0.008698,9.99849,9.98979
102,1.74E-09,1.97E-09,2.19E-12,-0.175062,0.285798,-0.624195,-0.000231561,0.000954858,-0.000170525,0.000978646,-0.000255349,-0.692391,0.000886933,0.00886028,9.99865,9.98979
103,1.74E-09,1.97E-09,2.19E-12,-0.174344,0.290597,-0.625119,-0.000248654,0.000974759,-0.000225007,0.00100228,-0.000276176,-0.960583,0.000902952,0.0090203,9.99881,9.98979
104,1.74E-09,1.97E-09,2.19E-12,-0.175156,0.289145,-0.621568,-0.000249122,0.000997151,-0.000165657,0.0010205,-0.000272471,-0.673161,0.000906383,0.00905458,9.99885,9.98979
105,1.74E-09,1.97E-09,2.19E-12,-0.175856,0.293011,-0.626469,-0.000262253,0.0010046,-0.000229783,0.00103205,-0.000289706,-0.994938,0.000918985,0.00918047,9.99897,9.98979
106,1.74E-09,1.97E-09,2.19E-12,-0.176304,0.289763,-0.630392,-0.00028282,0.00102562,-0.000216609,0.00105018,-0.000307382,-0.816485,0.000958399,0.00957421,9.99937,9.98979
107,1.74E-09,1.97E-09,2.19E-12,-0.176798,0.292903,-0.633233,-0.000269204,0.00105163,-0.000243703,0.00107819,-0.000295767,-0.937422,0.00096163,0.00960648,9.9994,9.98979
