Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
45,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000045_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000045_1.tif,52.602834,52.603103,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
46,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000046_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000046_1.tif,53.102823,53.103193,0.000724,-10.383721,-10.430638,-10.389762,0.015923,0.000000,0.000000,0.000000
47,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000047_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000047_1.tif,53.602863,53.603148,0.001043,-10.383721,-10.430638,-10.389762,0.016860,0.000000,0.000000,0.000000
48,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000048_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000048_1.tif,54.102866,54.103122,0.006462,-10.383721,-10.430638,-10.389762,0.032783,0.000000,0.000000,0.000000
49,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000049_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000049_1.tif,54.602815,54.603153,0.014114,-10.383721,-10.430638,-10.389762,0.055262,0.000000,0.000000,0.000000
50,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000050_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000050_1.tif,55.102724,55.103017,0.022721,-10.383721,-10.430638,-10.389762,0.080552,0.000000,0.000000,0.000000
51,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000051_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000051_1.tif,55.602787,55.603120,0.032923,-10.383721,-10.430638,-10.389762,0.110525,0.000000,0.000000,0.000000
52,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000052_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000052_1.tif,56.102875,56.103193,0.045038,-10.383721,-10.430638,-10.389762,0.146118,0.000000,0.000000,0.000000
53,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000053_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000053_1.tif,56.602846,56.603210,0.056515,-10.383721,-10.430638,-10.389762,0.179837,0.000000,0.000000,0.000000
54,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000054_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000054_1.tif,57.102765,57.103043,0.067035,-10.383721,-10.430638,-10.389762,0.210747,0.000000,0.000000,0.000000
55,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000055_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000055_1.tif,57.602832,57.603074,0.076600,-10.383721,-10.430638,-10.389762,0.238846,0.000000,0.000000,0.000000
56,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000056_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000056_1.tif,58.102850,58.103250,0.091265,-10.383721,-10.430638,-10.389762,0.281932,0.000000,0.000000,0.000000
57,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000057_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000057_1.tif,58.602866,58.603184,0.102742,-10.383721,-10.430638,-10.389762,0.315652,0.000000,0.000000,0.000000
58,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000058_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000058_1.tif,59.102818,59.103159,0.113900,-10.383721,-10.430638,-10.389762,0.348435,0.000000,0.000000,0.000000
59,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000059_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000059_1.tif,59.602839,59.603208,0.125058,-10.383721,-10.430638,-10.389762,0.381217,0.000000,0.000000,0.000000
60,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000060_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000060_1.tif,60.102792,60.103136,0.133985,-10.383721,-10.430638,-10.389762,0.407444,0.000000,0.000000,0.000000
61,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000061_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000061_1.tif,60.602783,60.603062,0.142592,-10.383721,-10.430638,-10.389762,0.432733,0.000000,0.000000,0.000000
62,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000062_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000062_1.tif,61.102794,61.103028,0.149606,-10.383721,-10.430638,-10.389762,0.453340,0.000000,0.000000,0.000000
63,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000063_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000063_1.tif,61.602834,61.603174,0.156939,-10.383721,-10.430638,-10.389762,0.474883,0.000000,0.000000,0.000000
64,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000064_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000064_1.tif,62.102841,62.102995,0.164271,-10.383721,-10.430638,-10.389762,0.496426,0.000000,0.000000,0.000000
65,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000065_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000065_1.tif,62.602707,62.603016,0.170966,-10.383721,-10.430638,-10.389762,0.516095,0.000000,0.000000,0.000000
66,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000066_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000066_1.tif,63.102837,63.103180,0.176067,-10.383721,-10.430638,-10.389762,0.531082,0.000000,0.000000,0.000000
67,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000067_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000067_1.tif,63.602773,63.603192,0.183400,-10.383721,-10.430638,-10.389762,0.552625,0.000000,0.000000,0.000000
